rank,mlb_player_id,full_name,current_age,primary_position,current_team,highest_level_name,total_milb_pa,pred_mlb_wrc_plus,pred_mlb_woba,pred_mlb_avg_ops,composite_score,weighted_prospect_score
427,691685,Jean Perez,24.21902806297057,IF,,AAA,662.0,1.6236600403878854,0.0057729033045518545,0.013745007867980602,1.4537018310815937,0.8504496001802344
428,678173,David McCabe,25.53867214236824,3B,,AAA,982.0,-3.5392650893979125,0.022016639801075245,0.05242057095494105,1.4535096977829618,1.239511764407677
429,691001,Robert Moore,23.523613963039015,2B,,AAA,1476.0,2.2026522747677917,0.001292843953318897,0.003078199888854517,1.4479081005335954,1.8963687195528809
430,677577,Ynmanol Mariñez,24.490075290896645,SS,,AAA,799.0,0.7222912235152615,0.00740791713006602,0.01763789792872862,1.4469371986931217,1.4371947209890534
431,681317,Jeremiah Boyd,25.270362765229294,C,,AAA,123.0,3.1670767094277186,0.001756017523324964,0.004180994103154675,1.4381049654706572,1.0017018772308932
432,809091,Ben Newton,23.329226557152634,2B,,AAA,157.0,0.7662756210146839,0.007169203179843741,0.017069531380580337,1.4280937201054735,0.9323369728423183
433,801194,Max Anderson,23.60848733744011,2B,,AAA,1246.0,0.8420221687943135,0.005303124279840263,0.012626486380572058,1.4002662725691353,1.8484407474394597
434,701544,Andy Blake,25.14715947980835,SS,,AAA,316.0,1.889500319304304,0.005863035095100381,0.013692787455866709,1.3979010189242351,0.7681903280061232
435,689216,Jalen Battles,25.801505817932924,SS,,AAA,761.0,1.5605257702823387,0.006807627566251071,0.016208637062502553,1.3891702115332232,1.0475654544172177
436,687331,Quincy McAfee,28.060232717316907,LF,,AAA,1032.0,2.3759991644779124,0.008324605962749585,0.01981528191650654,1.375619393704075,1.0204310390672267
437,687567,Jorel Ortega,24.709103353867214,2B,,AA,954.0,0.8623764909134626,0.006057072204156403,0.02375255889633516,1.371909317017651,0.7754418893498096
438,682266,Brett Auerbach,27.11567419575633,C,,AAA,1090.0,-1.0829316967367355,0.016231964553363513,0.0386475346508655,1.3678652378148295,1.206381334088027
439,690991,Mac Horvath,24.213552361396303,3B,,A+,984.0,0.3663747640262977,0.009820857571609614,0.02338299421811813,1.3574335331463272,0.49224544494781225
440,673893,Trevor Schwecke,27.805612594113622,SS,,AAA,747.0,1.6461769942262594,0.00942401727123789,0.022438136360090226,1.3556252302330454,1.114386532662992
441,681355,Andrew Cossetti,25.686516084873375,C,,AA,861.0,0.3116313253012189,0.011487440745221395,0.027350903976573474,1.3435836999679074,0.5530047747814539
