prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,fb_future,sl_future,cb_future,ch_future,cmd_future,fb_upside,cmd_upside,velocity_sits_low,velocity_sits_high,velocity_tops,velocity_avg,plus_pitch_count,frame_grade,athleticism_grade,arm_grade,delivery_grade,has_tj_surgery,total_ip,era,whip,k_per_9,bb_per_9,k_bb_ratio,total_k,total_bb,total_hr_allowed,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,fb_change,cmd_change,velo_change
8974,2022,Shane Panzini,DH,sa3018257,0,Bench,40,50.0,50.0,55.0,45.0,50.0,5.0,30.0,91.0,93.0,95.0,92.0000000000000000,1,-1.0,-1.0,,1.0,0,,,,,,,,,,0,0,0,1,19,0,0.0,0.0,0.0
8490,2022,Tekoah Roby,RP,sa3014519,0,Bench,40,50.0,,45.0,55.0,50.0,10.0,20.0,92.0,94.0,95.0,93.0000000000000000,1,1.0,1.0,,1.0,0,21.3,2.5352112676056335,0.9859154929577465,,2.9577464788732395,,,7.0,1.0,0,0,0,2,19,0,0.0,0.0,0.0
8256,2022,Tink Hence,SP,sa3014709,0,Bench,40,60.0,,60.0,50.0,55.0,5.0,20.0,93.0,96.0,98.0,94.5000000000000000,2,1.0,1.0,,2.0,0,7.3,9.863013698630137,1.9178082191780823,,3.6986301369863015,,,3.0,1.0,0,0,0,1,18,0,0.0,0.0,0.0
8503,2022,Walbert Urena,DH,sa3018298,0,Bench,40,70.0,45.0,,60.0,35.0,10.0,15.0,94.0,97.0,100.0,95.5000000000000000,2,,1.0,,-2.0,0,,,,,,,,,,0,0,0,1,17,0,0.0,0.0,0.0
9173,2022,Wilmer Flores,RP,sa3015223,0,Bench,40,70.0,50.0,60.0,,40.0,10.0,10.0,93.0,96.0,98.0,94.5000000000000000,2,1.0,-1.0,,,0,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0
8366,2022,Winston Santos,SP,sa3015952,0,Bench,40,50.0,50.0,,55.0,55.0,5.0,20.0,91.0,95.0,97.0,93.0000000000000000,1,,,,,0,32.300000000000004,3.3436532507739933,1.0216718266253868,,2.507739938080495,,,9.0,1.0,0,0,0,1,19,0,0.0,0.0,0.0
9105,2022,Yosver Zulueta,DH,27765,0,Bench,40,70.0,,55.0,,40.0,0.0,0.0,96.0,98.0,99.0,97.0000000000000000,2,1.0,1.0,,1.0,0,0.0,,,,,,,0.0,0.0,0,0,0,2,23,0,0.0,0.0,0.0
8788,2022,Zac Leigh,DH,sa3017873,0,Bench,40,50.0,50.0,,60.0,45.0,5.0,15.0,91.0,95.0,98.0,93.0000000000000000,1,1.0,1.0,,,0,8.2,1.0975609756097562,0.853658536585366,,3.2926829268292686,,,3.0,0.0,0,0,1,3,23,0,0.0,0.0,0.0
8395,2022,AJ Blubaugh,RP,31764,0,Bench,35,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,1,20,0,,,
9421,2022,Alexander Alberto,DH,sa3015986,0,Bench,35,50.0,55.0,,,40.0,20.0,10.0,90.0,92.0,95.0,91.0000000000000000,1,2.0,,,,0,23.8,4.53781512605042,1.8487394957983192,,7.184873949579831,,,19.0,0.0,0,0,0,1,19,0,0.0,0.0,0.0
